City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hawaiian paradise park,19.5933,-154.9731,21.13,98,89,4.03,US,1712772242
1,yoko,5.5333,12.3167,24.24,61,90,2.15,CM,1712772242
2,ushuaia,-54.8,-68.3,8.79,66,40,13.38,AR,1712772195
3,ribeira grande,38.5167,-28.7,16.54,100,75,6.26,PT,1712772243
4,trairi,-3.2778,-39.2689,27.75,86,100,3.61,BR,1712772059
5,nelson bay,-32.7167,152.15,17.22,74,61,4.92,AU,1712772243
6,ilulissat,69.2167,-51.1,-4.99,54,40,2.06,GL,1712772243
7,axim,4.8699,-2.2405,29.0,78,99,4.46,GH,1712772243
8,noumea,-22.2763,166.4572,27.78,99,98,4.64,NC,1712771775
9,ust-nera,64.5667,143.2,-16.68,97,57,2.22,RU,1712772243
10,aromashevo,56.8602,68.6375,-2.77,83,83,2.15,RU,1712772243
11,tromso,69.6496,18.957,4.01,93,75,1.54,NO,1712772079
12,vadso,70.0744,29.7487,3.49,100,100,6.69,NO,1712772244
13,lazaro cardenas,17.9583,-102.2,28.42,54,32,5.47,MX,1712772073
14,kailua-kona,19.6406,-155.9956,23.11,86,16,0.45,US,1712772244
15,blackmans bay,-43.0167,147.3167,10.07,87,78,0.45,AU,1712772244
16,saipan,15.1355,145.701,26.95,79,100,9.61,MP,1712772244
17,kisangani,0.5167,25.2,24.58,75,41,0.75,CD,1712772244
18,tura,25.5198,90.2201,25.41,26,84,2.01,IN,1712772244
19,puerto natales,-51.7236,-72.4875,10.25,53,0,7.72,CL,1712772244
20,papatowai,-46.5619,169.4708,12.29,99,100,1.12,NZ,1712772244
21,east london,-33.0153,27.9116,15.52,94,40,6.69,ZA,1712772060
22,malpica,43.3228,-8.8105,16.09,52,100,2.06,ES,1712772245
23,avarua,-21.2078,-159.775,27.03,89,40,8.23,CK,1712772245
24,ilanskiy,56.2358,96.065,0.73,88,99,3.72,RU,1712772245
25,waitangi,-43.9535,-176.5597,15.46,94,67,3.58,NZ,1712772245
26,beloyarskiy,63.7119,66.6722,-12.78,97,87,2.24,RU,1712772245
27,dudinka,69.4058,86.1778,-31.29,100,83,1.79,RU,1712772245
28,nova xavantina,-14.6667,-52.35,27.83,83,87,1.1,BR,1712772038
29,georgetown,5.4112,100.3354,28.3,86,20,1.54,MY,1712772137
30,zaigrayevo,51.8336,108.2703,4.62,96,97,1.99,RU,1712772245
31,port-aux-francais,-49.35,70.2167,7.75,99,100,5.55,TF,1712772246
32,jamestown,42.097,-79.2353,15.57,89,100,3.6,US,1712772044
33,vorgashor,67.5833,63.95,-21.78,100,95,1.92,RU,1712772246
34,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,96,75,3.0,RU,1712772246
35,praya,14.9215,-23.5087,25.3,53,20,10.29,CV,1712772246
36,yuzhno-kurilsk,44.0306,145.8556,0.21,83,1,1.61,RU,1712772246
37,st ives,50.2086,-5.4875,12.18,95,100,9.57,GB,1712772246
38,grytviken,-54.2811,-36.5092,2.53,86,58,5.57,GS,1712771958
39,longyearbyen,78.2186,15.6401,-14.09,72,0,5.66,SJ,1712772034
40,tamandare,-8.7597,-35.1047,29.75,64,71,3.5,BR,1712772247
41,isafjordur,66.0755,-23.124,3.02,70,20,2.06,IS,1712772247
42,minas de marcona,-15.2119,-75.1103,24.06,55,81,6.35,PE,1712772247
43,bel ombre,-4.6167,55.4167,26.91,89,40,2.57,SC,1712772247
44,albany,42.6001,-73.9662,13.47,77,100,1.79,US,1712772017
45,antofagasta,-23.65,-70.4,21.6,74,92,3.62,CL,1712772066
46,adamstown,-25.066,-130.1015,23.22,84,100,3.8,PN,1712772247
47,carnarvon,-24.8667,113.6333,23.94,57,25,6.3,AU,1712772247
48,utrik,11.2278,169.8474,26.68,80,99,10.4,MH,1712772247
49,lebu,-37.6167,-73.65,14.09,52,100,1.91,CL,1712772247
50,yokadouma,3.5167,15.05,27.23,65,86,1.01,CM,1712772247
51,invercargill,-46.4,168.35,12.23,98,100,2.24,NZ,1712772098
52,saint-pierre,-21.3393,55.4781,24.82,78,0,1.54,RE,1712772248
53,villa emilio carranza,19.9667,-96.6,28.98,51,39,11.17,MX,1712772248
54,tiksi,71.6872,128.8694,-14.53,98,100,4.46,RU,1712772248
55,chocen,50.0016,16.223,11.81,80,100,0.45,CZ,1712772248
56,wongsorejo,-7.9908,114.4009,25.52,91,100,1.83,ID,1712772248
57,alpatovo,43.7028,45.2415,17.86,83,100,2.65,RU,1712772248
58,mount isa,-20.7333,139.5,16.87,42,9,4.63,AU,1712772052
59,iskateley,67.6803,53.1512,-13.88,96,34,2.68,RU,1712772248
60,bilibino,68.0546,166.4372,-23.97,99,90,1.61,RU,1712772248
61,uturoa,-16.7333,-151.4333,28.92,77,68,7.44,PF,1712772248
62,zyryanskoye,56.8306,86.6258,-4.66,84,96,3.19,RU,1712772249
